student,class,sex,faculty,mid,end,suki,manzoku,rikai
S695,Q,M,F08,88,100,3,5,5
S696,Q,F,F08,80,80,4,1,1
S697,Q,M,F08,60,81,1,4,2
S698,Q,M,F08,78,65,3,4,3
S699,Q,M,F08,88,78,3,4,2
S700,Q,M,F08,44,17,3,3,3
S701,R,M,F08,80,95,4,5,5
S702,R,M,F08,62,97,4,5,5
S703,R,M,F08,52,37,4,3,4
S704,R,F,F08,48,16,1,3,2
S705,R,M,F08,82,68,3,3,1
S706,R,M,F08,70,97,4,4,3
S707,R,M,F08,58,56,3,3,1
S708,R,M,F08,68,82,3,5,4
S709,R,F,F08,50,54,3,4,4
S710,R,M,F08,68,44,5,1,4
S711,R,M,F08,42,46,5,3,3
S712,R,M,F08,78,67,3,1,3
S713,R,M,F08,76,84,4,4,3
S714,R,F,F08,66,95,4,5,4
S715,R,F,F08,90,94,3,5,4
S716,R,M,F08,54,83,5,5,4
S717,R,M,F08,68,97,4,5,5
S718,R,F,F08,64,41,1,1,2
S719,R,M,F08,70,75,4,3,3
S720,R,M,F08,50,45,2,4,1
S721,R,M,F08,72,68,3,1,3
S722,R,M,F08,72,73,3,1,3
S723,R,M,F08,46,77,4,2,4
S724,R,F,F08,50,32,3,1,4
S725,R,M,F08,76,87,4,5,4
S726,R,M,F08,50,52,1,4,2
S727,R,M,F08,66,90,5,5,5
S728,R,M,F08,NA,98,1,4,2
S729,R,M,F08,88,97,5,5,4
S730,R,M,F08,44,17,2,1,2
S731,R,M,F08,32,28,2,2,2
S732,R,M,F08,64,82,4,5,4
S733,R,F,F08,78,63,2,2,2
S734,R,M,F08,70,81,5,4,4
S735,R,M,F08,NA,97,3,4,1
S736,R,M,F08,74,47,5,1,4
S737,R,M,F08,NA,96,4,5,5
S738,R,F,F08,54,77,5,4,3
S739,R,M,F08,40,43,4,2,4
S740,R,M,F08,82,83,4,5,4
S741,R,M,F08,62,47,2,1,2
S742,R,M,F08,68,86,5,5,4
S743,R,M,F08,56,63,4,2,2
S744,R,M,F08,66,67,5,4,4
S745,S,F,F08,70,100,1,4,1
S746,S,F,F08,90,70,3,2,1
S747,S,M,F08,66,50,4,4,2
S748,S,M,F08,44,25,5,3,3
S749,S,M,F08,70,84,4,4,2
S750,S,M,F08,58,90,3,4,1
S751,S,M,F08,54,88,2,4,2
S752,S,M,F08,58,49,4,1,3
S753,S,M,F08,60,84,3,5,4
S754,S,M,F08,56,30,4,2,4
S755,S,M,F08,50,44,2,1,1
S756,S,M,F08,96,92,4,4,4
S757,S,M,F08,76,83,4,5,4
S758,S,F,F08,64,64,3,1,4
S759,S,M,F08,64,42,5,4,4
S760,S,M,F08,50,70,2,3,2
S761,S,M,F08,48,82,3,5,5
S762,S,M,F08,64,97,2,4,1
S763,S,M,F08,68,82,3,4,4
S764,S,F,F08,52,84,2,4,1
S765,S,M,F08,68,43,3,1,4
S766,S,M,F08,86,78,4,4,1
S767,S,M,F08,30,20,2,1,2
S768,S,F,F08,88,68,3,4,1
S769,S,M,F08,58,83,3,5,4
S770,S,M,F08,74,99,1,4,1
S771,S,M,F08,100,85,3,5,4
S772,S,F,F08,50,88,4,5,4
S773,S,M,F08,60,91,5,5,5
S774,S,M,F08,80,84,4,5,4
S775,S,M,F08,74,97,4,5,4
S776,S,M,F08,84,79,3,3,1
S777,S,M,F08,38,26,4,3,3
S778,S,M,F08,70,98,5,4,3
S779,S,M,F08,96,99,3,5,5
S780,S,M,F08,80,81,4,5,5
S781,S,M,F08,72,89,5,5,5
S782,S,M,F08,64,34,2,1,2
S783,S,M,F08,54,67,1,3,1
S784,S,F,F08,74,76,5,2,4
S785,S,M,F08,82,96,4,4,1
S786,S,M,F08,76,44,2,4,2
S787,S,M,F08,72,100,3,5,4
S788,S,M,F08,48,34,1,3,2
S789,S,M,F08,78,76,1,2,2
S790,S,F,F08,86,98,4,5,4
